epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,4251.99,0.57942,0.32103,0.9898,0.95976,0.9873,0.98684,0.88196,0.47814,0.24534,0.93799,0.00028475,0.00028475,0.00028475
80,4305.47,0.58747,0.32543,0.99693,0.95678,0.98803,0.98607,0.88147,0.48096,0.25174,0.93861,0.000272375,0.000272375,0.000272375
81,4358.81,0.58211,0.32734,0.99553,0.96261,0.98751,0.98761,0.88074,0.48856,0.25104,0.94321,0.00026,0.00026,0.00026
82,4412.5,0.57545,0.3239,0.98715,0.96119,0.9867,0.98545,0.88041,0.47788,0.25139,0.93414,0.000247625,0.000247625,0.000247625
83,4465.86,0.58055,0.32534,0.9948,0.96104,0.98475,0.98586,0.87808,0.48501,0.25445,0.93901,0.00023525,0.00023525,0.00023525
84,4519.16,0.57863,0.31943,0.99182,0.96421,0.98332,0.98679,0.88258,0.48036,0.2468,0.93477,0.000222875,0.000222875,0.000222875
85,4572.52,0.5795,0.32417,0.99137,0.96818,0.9828,0.9867,0.88319,0.48181,0.24753,0.93834,0.0002105,0.0002105,0.0002105
86,4626.17,0.57099,0.31358,0.98714,0.96244,0.97918,0.98765,0.88582,0.47506,0.24568,0.93337,0.000198125,0.000198125,0.000198125
87,4679.74,0.57491,0.31506,0.98984,0.96754,0.98092,0.98797,0.88196,0.494,0.24641,0.94322,0.00018575,0.00018575,0.00018575
88,4733.06,0.56563,0.31224,0.98777,0.96873,0.98201,0.98838,0.88991,0.46853,0.24361,0.93295,0.000173375,0.000173375,0.000173375
89,4786.89,0.56949,0.31363,0.98485,0.96295,0.9852,0.98778,0.88711,0.47177,0.23821,0.93308,0.000161,0.000161,0.000161
90,4840.28,0.57136,0.31165,0.98918,0.96245,0.98473,0.98798,0.88899,0.47091,0.23979,0.93248,0.000148625,0.000148625,0.000148625
91,4894.21,0.49493,0.23692,0.95309,0.96752,0.986,0.98781,0.88955,0.46548,0.23478,0.93075,0.00013625,0.00013625,0.00013625
92,4947.7,0.49024,0.23272,0.952,0.96555,0.98668,0.98831,0.88782,0.46818,0.23913,0.93109,0.000123875,0.000123875,0.000123875
93,5000.87,0.48672,0.22958,0.9496,0.96587,0.9863,0.98795,0.88654,0.47105,0.23586,0.92972,0.0001115,0.0001115,0.0001115
94,5054.11,0.48402,0.22721,0.94616,0.97066,0.97991,0.98859,0.88782,0.47074,0.23521,0.92938,9.9125e-05,9.9125e-05,9.9125e-05
95,5107.24,0.47661,0.22431,0.93889,0.96356,0.9856,0.9886,0.88559,0.47448,0.23808,0.93347,8.675e-05,8.675e-05,8.675e-05
96,5160.28,0.47987,0.22374,0.94258,0.96665,0.98484,0.98869,0.88373,0.47858,0.23641,0.93561,7.4375e-05,7.4375e-05,7.4375e-05
97,5213.43,0.48382,0.22523,0.94874,0.96482,0.98443,0.98885,0.88679,0.46965,0.23604,0.93073,6.2e-05,6.2e-05,6.2e-05
98,5266.65,0.4775,0.22024,0.93919,0.96145,0.98683,0.98922,0.88417,0.47736,0.23732,0.9339,4.9625e-05,4.9625e-05,4.9625e-05
99,5319.71,0.47459,0.21897,0.94139,0.96335,0.98541,0.98926,0.88684,0.46922,0.23603,0.93056,3.725e-05,3.725e-05,3.725e-05
100,5373.69,0.47355,0.21768,0.93818,0.9685,0.98147,0.98941,0.88776,0.46828,0.23408,0.92938,2.4875e-05,2.4875e-05,2.4875e-05
